Question_ID,Match_Status,Golden_Answers,Predicted_Answers,Option,Logit_Score,Full_Input_Sequence
q-2020,Correct,C,C,A,0.0001,"[CLS] President Yoon Suk Yeol vowed to carry out a thorough investigation. | Kim and her friend crawled out of the crush and were pulled into a tavern by adults. [SEP] 154 killed, 133 injured in Halloween crowd crush in Seoul: SEOUL - A stampede during Halloween festivities in Seoul on Saturday night left 154 people dead and 133 injured after many young people flocked to a popular nightlife district, South Korean authorities said.

The deadly crush occurred in a narrow street in Itaewon, where tens of thousands of people  Seoul crowd crush shows gaps in Korean safety rules, experts say: SEOUL — Two days before tens of thousands of partygoers gathered for the wildly popular Halloween celebrations in Itaewon, the surrounding Yongsan district unveiled its safety countermeasures for the expected celebrations. They addressed coronavirus prevention, street cleanliness, restaurant safety  South Korea promises investigation after Halloween crowd crush: Mourners pay respects as 154 people confirmed dead in the disaster, which took place during Halloween celebrations in Seoul.

South Korean Prime Minister Han Duck-soo has promised a thorough investigation into the Halloween crush over the weekend that killed more than 150 people in the capital and p Halloween Crowd Crush in Seoul Was ‘Absolutely Avoidable,’ Experts Say (Published 2022): SEOUL — When the K-pop group BTS staged a show in South Korea that drew a crowd of 55,000, the police were ready, assigning 1,300 officers to keep people safe. And when political protests are held, however modest in size, the country’s police are famous for laying careful plans to make sure crowds d Survivors recount chaotic scene in Seoul during tragic Halloween stampede: Survivors recount chaotic scene in Seoul during tragic Halloween stampede

Enlarge this image toggle caption Ahn Young-joon/AP Ahn Young-joon/AP

In the hours since a devastating crowd surge in South Korea's capital claimed the lives of more than 150 people, details have begun to emerge that emphasi Seoul Halloween crowd crush kills at least 153; Americans among 20 foreigners dead: It started as a night for two tourists to get a taste of Korean Halloween. It ended with screams, oxygen pumps and horror as emergency workers pulled away from those they were trying to save, resigned to conceal their faces with towels and scraps of cloth in an alleyway that became covered with the  [SEP]"
q-2020,Correct,C,C,B,0.0001,"[CLS] President Yoon Suk Yeol vowed to carry out a thorough investigation. | Emergency workers and pedestrians performed CPR on victims in the streets on Saturday night. [SEP] 154 killed, 133 injured in Halloween crowd crush in Seoul: SEOUL - A stampede during Halloween festivities in Seoul on Saturday night left 154 people dead and 133 injured after many young people flocked to a popular nightlife district, South Korean authorities said.

The deadly crush occurred in a narrow street in Itaewon, where tens of thousands of people  Seoul crowd crush shows gaps in Korean safety rules, experts say: SEOUL — Two days before tens of thousands of partygoers gathered for the wildly popular Halloween celebrations in Itaewon, the surrounding Yongsan district unveiled its safety countermeasures for the expected celebrations. They addressed coronavirus prevention, street cleanliness, restaurant safety  South Korea promises investigation after Halloween crowd crush: Mourners pay respects as 154 people confirmed dead in the disaster, which took place during Halloween celebrations in Seoul.

South Korean Prime Minister Han Duck-soo has promised a thorough investigation into the Halloween crush over the weekend that killed more than 150 people in the capital and p Halloween Crowd Crush in Seoul Was ‘Absolutely Avoidable,’ Experts Say (Published 2022): SEOUL — When the K-pop group BTS staged a show in South Korea that drew a crowd of 55,000, the police were ready, assigning 1,300 officers to keep people safe. And when political protests are held, however modest in size, the country’s police are famous for laying careful plans to make sure crowds d Survivors recount chaotic scene in Seoul during tragic Halloween stampede: Survivors recount chaotic scene in Seoul during tragic Halloween stampede

Enlarge this image toggle caption Ahn Young-joon/AP Ahn Young-joon/AP

In the hours since a devastating crowd surge in South Korea's capital claimed the lives of more than 150 people, details have begun to emerge that emphasi Seoul Halloween crowd crush kills at least 153; Americans among 20 foreigners dead: It started as a night for two tourists to get a taste of Korean Halloween. It ended with screams, oxygen pumps and horror as emergency workers pulled away from those they were trying to save, resigned to conceal their faces with towels and scraps of cloth in an alleyway that became covered with the  [SEP]"
q-2020,Correct,C,C,C,0.9998,"[CLS] President Yoon Suk Yeol vowed to carry out a thorough investigation. | At least 153 people were killed and dozens injured. [SEP] 154 killed, 133 injured in Halloween crowd crush in Seoul: SEOUL - A stampede during Halloween festivities in Seoul on Saturday night left 154 people dead and 133 injured after many young people flocked to a popular nightlife district, South Korean authorities said.

The deadly crush occurred in a narrow street in Itaewon, where tens of thousands of people  Seoul crowd crush shows gaps in Korean safety rules, experts say: SEOUL — Two days before tens of thousands of partygoers gathered for the wildly popular Halloween celebrations in Itaewon, the surrounding Yongsan district unveiled its safety countermeasures for the expected celebrations. They addressed coronavirus prevention, street cleanliness, restaurant safety  South Korea promises investigation after Halloween crowd crush: Mourners pay respects as 154 people confirmed dead in the disaster, which took place during Halloween celebrations in Seoul.

South Korean Prime Minister Han Duck-soo has promised a thorough investigation into the Halloween crush over the weekend that killed more than 150 people in the capital and p Halloween Crowd Crush in Seoul Was ‘Absolutely Avoidable,’ Experts Say (Published 2022): SEOUL — When the K-pop group BTS staged a show in South Korea that drew a crowd of 55,000, the police were ready, assigning 1,300 officers to keep people safe. And when political protests are held, however modest in size, the country’s police are famous for laying careful plans to make sure crowds d Survivors recount chaotic scene in Seoul during tragic Halloween stampede: Survivors recount chaotic scene in Seoul during tragic Halloween stampede

Enlarge this image toggle caption Ahn Young-joon/AP Ahn Young-joon/AP

In the hours since a devastating crowd surge in South Korea's capital claimed the lives of more than 150 people, details have begun to emerge that emphasi Seoul Halloween crowd crush kills at least 153; Americans among 20 foreigners dead: It started as a night for two tourists to get a taste of Korean Halloween. It ended with screams, oxygen pumps and horror as emergency workers pulled away from those they were trying to save, resigned to conceal their faces with towels and scraps of cloth in an alleyway that became covered with the  [SEP]"
q-2020,Correct,C,C,D,0.0001,"[CLS] President Yoon Suk Yeol vowed to carry out a thorough investigation. | Kim and her friend entered the alley at 8 p.m. and became trapped as the crowd density increased. [SEP] 154 killed, 133 injured in Halloween crowd crush in Seoul: SEOUL - A stampede during Halloween festivities in Seoul on Saturday night left 154 people dead and 133 injured after many young people flocked to a popular nightlife district, South Korean authorities said.

The deadly crush occurred in a narrow street in Itaewon, where tens of thousands of people  Seoul crowd crush shows gaps in Korean safety rules, experts say: SEOUL — Two days before tens of thousands of partygoers gathered for the wildly popular Halloween celebrations in Itaewon, the surrounding Yongsan district unveiled its safety countermeasures for the expected celebrations. They addressed coronavirus prevention, street cleanliness, restaurant safety  South Korea promises investigation after Halloween crowd crush: Mourners pay respects as 154 people confirmed dead in the disaster, which took place during Halloween celebrations in Seoul.

South Korean Prime Minister Han Duck-soo has promised a thorough investigation into the Halloween crush over the weekend that killed more than 150 people in the capital and p Halloween Crowd Crush in Seoul Was ‘Absolutely Avoidable,’ Experts Say (Published 2022): SEOUL — When the K-pop group BTS staged a show in South Korea that drew a crowd of 55,000, the police were ready, assigning 1,300 officers to keep people safe. And when political protests are held, however modest in size, the country’s police are famous for laying careful plans to make sure crowds d Survivors recount chaotic scene in Seoul during tragic Halloween stampede: Survivors recount chaotic scene in Seoul during tragic Halloween stampede

Enlarge this image toggle caption Ahn Young-joon/AP Ahn Young-joon/AP

In the hours since a devastating crowd surge in South Korea's capital claimed the lives of more than 150 people, details have begun to emerge that emphasi Seoul Halloween crowd crush kills at least 153; Americans among 20 foreigners dead: It started as a night for two tourists to get a taste of Korean Halloween. It ended with screams, oxygen pumps and horror as emergency workers pulled away from those they were trying to save, resigned to conceal their faces with towels and scraps of cloth in an alleyway that became covered with the  [SEP]"
q-2021,Correct,C,C,A,0.0001,"[CLS] Twitter removed Trump's tweets and locked his account. | A woman was shot inside the Capitol and died. [SEP] Trump Supporters Storm US Capitol, Clash With Police: Updated at 3:23 p.m.

WASHINGTON (AP) — Protesters supporting President Donald Trump stormed the U.S. Capitol Wednesday, clashing with police and forcing a delay in the constitutional process to affirm President-elect Joe Biden's win.

Dozens of people breached security perimeters at the Capitol and Trump supporters storm U.S. Capitol, with one woman killed and tear gas fired: As President Trump told a sprawling crowd outside the White House that they should never accept defeat, hundreds of his supporters stormed the U.S. Capitol in what amounted to an attempted coup that they hoped would overturn the election he lost. In the chaos, law enforcement officials said, one wom Law enforcement missed key signs ahead of riot on US Capitol: CNN —

Despite weeks of planning between federal and local police agencies ahead of Wednesday’s Trump rally – including tracking social media – officials said that going into Wednesday they had no intelligence indicating there was a threat the US Capitol could be overrun.

It would turn out to be a  Trump’s supporters storm the Capitol to block the transfer of power: INSTEAD OF THE dull, pro-forma ritual that normally marks the joint session of Congress that certifies a presidential victory, Washington on January 6th experienced what was at best a riot, at worst an insurrection. But the attempts by both the mob and Mr Trump’s congressional allies to overturn the Among the Insurrectionists at the Capitol: Right-wing extremists justify such inconsistency by assigning the epithet “oath-breaker” to anyone in uniform who executes his duties in a manner they dislike. It is not difficult to imagine how, once Trump is no longer President, his most fanatical supporters could apply this caveat to all levels o How a Presidential Rally Turned Into a Capitol Rampage (Published 2021): When President Trump railed against the election results from a stage near the White House on Wednesday, his loyalists were already gathering at the Capitol. Soon, they would storm it. We analyzed a crucial two-hour period to reconstruct how a rally gave way to a mob that nearly came face to face wi [SEP]"
q-2021,Correct,C,C,B,0.0001,"[CLS] Twitter removed Trump's tweets and locked his account. | Pipe bombs were reported at the Republican National Committee building and the Democratic National Committee headquarters. [SEP] Trump Supporters Storm US Capitol, Clash With Police: Updated at 3:23 p.m.

WASHINGTON (AP) — Protesters supporting President Donald Trump stormed the U.S. Capitol Wednesday, clashing with police and forcing a delay in the constitutional process to affirm President-elect Joe Biden's win.

Dozens of people breached security perimeters at the Capitol and Trump supporters storm U.S. Capitol, with one woman killed and tear gas fired: As President Trump told a sprawling crowd outside the White House that they should never accept defeat, hundreds of his supporters stormed the U.S. Capitol in what amounted to an attempted coup that they hoped would overturn the election he lost. In the chaos, law enforcement officials said, one wom Law enforcement missed key signs ahead of riot on US Capitol: CNN —

Despite weeks of planning between federal and local police agencies ahead of Wednesday’s Trump rally – including tracking social media – officials said that going into Wednesday they had no intelligence indicating there was a threat the US Capitol could be overrun.

It would turn out to be a  Trump’s supporters storm the Capitol to block the transfer of power: INSTEAD OF THE dull, pro-forma ritual that normally marks the joint session of Congress that certifies a presidential victory, Washington on January 6th experienced what was at best a riot, at worst an insurrection. But the attempts by both the mob and Mr Trump’s congressional allies to overturn the Among the Insurrectionists at the Capitol: Right-wing extremists justify such inconsistency by assigning the epithet “oath-breaker” to anyone in uniform who executes his duties in a manner they dislike. It is not difficult to imagine how, once Trump is no longer President, his most fanatical supporters could apply this caveat to all levels o How a Presidential Rally Turned Into a Capitol Rampage (Published 2021): When President Trump railed against the election results from a stage near the White House on Wednesday, his loyalists were already gathering at the Capitol. Soon, they would storm it. We analyzed a crucial two-hour period to reconstruct how a rally gave way to a mob that nearly came face to face wi [SEP]"
q-2021,Correct,C,C,C,0.9998,"[CLS] Twitter removed Trump's tweets and locked his account. | Supporters stormed the U.S. Capitol. [SEP] Trump Supporters Storm US Capitol, Clash With Police: Updated at 3:23 p.m.

WASHINGTON (AP) — Protesters supporting President Donald Trump stormed the U.S. Capitol Wednesday, clashing with police and forcing a delay in the constitutional process to affirm President-elect Joe Biden's win.

Dozens of people breached security perimeters at the Capitol and Trump supporters storm U.S. Capitol, with one woman killed and tear gas fired: As President Trump told a sprawling crowd outside the White House that they should never accept defeat, hundreds of his supporters stormed the U.S. Capitol in what amounted to an attempted coup that they hoped would overturn the election he lost. In the chaos, law enforcement officials said, one wom Law enforcement missed key signs ahead of riot on US Capitol: CNN —

Despite weeks of planning between federal and local police agencies ahead of Wednesday’s Trump rally – including tracking social media – officials said that going into Wednesday they had no intelligence indicating there was a threat the US Capitol could be overrun.

It would turn out to be a  Trump’s supporters storm the Capitol to block the transfer of power: INSTEAD OF THE dull, pro-forma ritual that normally marks the joint session of Congress that certifies a presidential victory, Washington on January 6th experienced what was at best a riot, at worst an insurrection. But the attempts by both the mob and Mr Trump’s congressional allies to overturn the Among the Insurrectionists at the Capitol: Right-wing extremists justify such inconsistency by assigning the epithet “oath-breaker” to anyone in uniform who executes his duties in a manner they dislike. It is not difficult to imagine how, once Trump is no longer President, his most fanatical supporters could apply this caveat to all levels o How a Presidential Rally Turned Into a Capitol Rampage (Published 2021): When President Trump railed against the election results from a stage near the White House on Wednesday, his loyalists were already gathering at the Capitol. Soon, they would storm it. We analyzed a crucial two-hour period to reconstruct how a rally gave way to a mob that nearly came face to face wi [SEP]"
q-2021,Correct,C,C,D,0.0001,"[CLS] Twitter removed Trump's tweets and locked his account. | Capitol Police Chief Steven Sund, House Sergeant at Arms Paul Irving, and Senate Sergeant at Arms Michael Stenger resigned. [SEP] Trump Supporters Storm US Capitol, Clash With Police: Updated at 3:23 p.m.

WASHINGTON (AP) — Protesters supporting President Donald Trump stormed the U.S. Capitol Wednesday, clashing with police and forcing a delay in the constitutional process to affirm President-elect Joe Biden's win.

Dozens of people breached security perimeters at the Capitol and Trump supporters storm U.S. Capitol, with one woman killed and tear gas fired: As President Trump told a sprawling crowd outside the White House that they should never accept defeat, hundreds of his supporters stormed the U.S. Capitol in what amounted to an attempted coup that they hoped would overturn the election he lost. In the chaos, law enforcement officials said, one wom Law enforcement missed key signs ahead of riot on US Capitol: CNN —

Despite weeks of planning between federal and local police agencies ahead of Wednesday’s Trump rally – including tracking social media – officials said that going into Wednesday they had no intelligence indicating there was a threat the US Capitol could be overrun.

It would turn out to be a  Trump’s supporters storm the Capitol to block the transfer of power: INSTEAD OF THE dull, pro-forma ritual that normally marks the joint session of Congress that certifies a presidential victory, Washington on January 6th experienced what was at best a riot, at worst an insurrection. But the attempts by both the mob and Mr Trump’s congressional allies to overturn the Among the Insurrectionists at the Capitol: Right-wing extremists justify such inconsistency by assigning the epithet “oath-breaker” to anyone in uniform who executes his duties in a manner they dislike. It is not difficult to imagine how, once Trump is no longer President, his most fanatical supporters could apply this caveat to all levels o How a Presidential Rally Turned Into a Capitol Rampage (Published 2021): When President Trump railed against the election results from a stage near the White House on Wednesday, his loyalists were already gathering at the Capitol. Soon, they would storm it. We analyzed a crucial two-hour period to reconstruct how a rally gave way to a mob that nearly came face to face wi [SEP]"
q-2022,Correct,B,B,A,0.0001,"[CLS] President Donald Trump proposed tariffs on steel and aluminum. | Trump scrapped the Trans-Pacific Partnership (TPP). [SEP] Goals behind Trump’s tariffs: cut taxes on rich & escalate new cold war on China: Donald Trump cited billionaire egghead venture capitalist Marc Andreessen to advocate for high tariffs. Trump argued that tariffs will magically replace the income tax and pay off U.S. public debt (which is more than 120% of GDP). This is utterly false, and mathematically absurd.



For Trump, tarif As Trump Sows Tariff Confusion, Rules of Global Commerce Give Way to Chaos: Six months into his new administration, President Trump’s assault on global trade has lost any semblance of organization or structure.

He has changed deadlines suddenly. He has blown up negotiations at the 11th hour, often raising unexpected issues. He has tied his tariffs to complaints that have n Everything to know about Trump's tariff letters — and why it's a radical approach: Everything to know about Trump's tariff letters — and why it's a radical approach

toggle caption Evan Vucci/AP

President Trump this week has been firing off letters to global leaders that threaten new, high tariff rates and also announcing them via social media — an approach that represents a radi Norquist: Trump Tariffs Will Hurt State Workers: Get a daily rundown of the top stories on Urban Milwaukee

Yesterday, President Donald Trump proposed that the country impose tariffs on steel and aluminum. This column by former Mayor John Norquist, originally published in February of last year, explains why this would damage Wisconsin manufacturin [SEP]"
q-2022,Correct,B,B,B,0.1187,"[CLS] President Donald Trump proposed tariffs on steel and aluminum. | Trump named Robert Lighthizer, a steel industry lobbyist, as U.S. Trade Representative. [SEP] Goals behind Trump’s tariffs: cut taxes on rich & escalate new cold war on China: Donald Trump cited billionaire egghead venture capitalist Marc Andreessen to advocate for high tariffs. Trump argued that tariffs will magically replace the income tax and pay off U.S. public debt (which is more than 120% of GDP). This is utterly false, and mathematically absurd.



For Trump, tarif As Trump Sows Tariff Confusion, Rules of Global Commerce Give Way to Chaos: Six months into his new administration, President Trump’s assault on global trade has lost any semblance of organization or structure.

He has changed deadlines suddenly. He has blown up negotiations at the 11th hour, often raising unexpected issues. He has tied his tariffs to complaints that have n Everything to know about Trump's tariff letters — and why it's a radical approach: Everything to know about Trump's tariff letters — and why it's a radical approach

toggle caption Evan Vucci/AP

President Trump this week has been firing off letters to global leaders that threaten new, high tariff rates and also announcing them via social media — an approach that represents a radi Norquist: Trump Tariffs Will Hurt State Workers: Get a daily rundown of the top stories on Urban Milwaukee

Yesterday, President Donald Trump proposed that the country impose tariffs on steel and aluminum. This column by former Mayor John Norquist, originally published in February of last year, explains why this would damage Wisconsin manufacturin [SEP]"
